iteration,logTimeProfile,logHyperParameter,logPrior,NAcounter,outsideRangeCounter,event
1,-126.959654460046,12.2641399610083,0,0,0,best
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
1,,,,,,restart
2,-126.959654460046,12.2641399610083,0,0,0,best
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
2,,,,,,restart
3,-121.411258351417,20.8753592494443,0,0,0,best
3,,,,,,restart
4,,,,,,restart
4,,,,,,restart
4,,,,,,restart
40,-107.011250600781,11.8873559752207,0,0,0,best
44,-103.339975528185,9.83152942257379,0,0,0,best
59,-105.023686609095,20.2259835909825,0,0,0,best
62,-104.427680071199,22.9149498017143,0,0,0,best
163,-85.419383515427,23.4213289471428,0,0,0,best
164,-80.9220799260302,21.5132310077167,0,0,0,best
169,-82.7696955340857,23.6146539591557,0,0,0,best
170,-76.0111905511862,22.1461020023325,0,0,0,best
183,-76.3752559712967,23.3041361108426,0,0,0,best
184,-68.5313908872397,22.2286942597582,0,0,0,best
195,-65.7601457127856,20.4187377357907,0,0,0,best
196,-56.8496689643234,17.084433497148,0,0,0,best
225,-59.4771066739298,20.1810016117286,0,0,0,best
233,-59.1441689162927,19.9347676705355,0,0,0,best
236,-59.8012435639756,20.6265642021214,0,0,0,best
242,-59.0987691991246,20.0928940829927,0,0,0,best
244,-59.5875453791075,20.8942558842028,0,0,0,best
251,-58.1001061948249,20.270021893255,0,0,0,best
261,-56.5715576286533,19.8195712952396,0,0,0,best
263,-55.903513636507,19.3838101243444,0,0,0,best
289,-56.2382394593242,20.2697998259683,0,0,0,best
290,-54.8395500828123,19.828710291907,0,0,0,best
303,-55.0557831506462,20.0584203541624,0,0,0,best
304,-53.7486038491951,19.7524196371091,0,0,0,best
315,-53.043927787446,19.3489995752981,0,0,0,best
316,-50.8026188226105,18.5962759382262,0,0,0,best
327,-50.80780553437,18.6537619066335,0,0,0,best
328,-48.1178078630063,17.7176154818469,0,0,0,best
341,-48.4610781518627,18.1786667696031,0,0,0,best
342,-45.2344832490919,16.9903383459863,0,0,0,best
355,-44.6032913167337,16.5401441568788,0,0,0,best
356,-42.1816219050294,14.5635480949157,0,0,0,best
357,-44.4364667718889,16.9019382586172,0,0,0,best
358,-41.7340969512248,15.4226686799415,0,0,0,best
363,-41.8573483480195,15.7637629467265,0,0,0,best
365,-41.1658583663307,15.2742970946021,0,0,0,best
366,-37.9215220976208,12.7264894033523,0,0,0,best
373,-37.4991626477874,14.0123670785244,0,0,0,best
377,-36.7331276482228,13.4957926412426,0,0,0,best
381,-34.3055163075647,12.9043291954916,0,0,0,best
382,-27.569107397917,9.09993459699498,0,0,0,best
403,-26.8947573919939,8.8723133364691,0,0,0,best
407,-26.114086310364,9.50832782738143,0,0,0,best
408,-19.9616863198278,5.44830472409149,0,0,0,best
427,-19.822039837043,5.37210323712119,0,0,0,best
445,-15.1412841805878,1.30470493854436,0,0,0,best
449,-17.0703938064668,4.16361616350245,0,0,0,best
455,-14.596544933161,2.93551111501931,0,0,0,best
456,-10.2771733343776,0.0948815252658128,0,0,0,best
483,-8.82055610605438,-0.403500194904346,0,0,0,best
484,-3.8197407948626,-3.41127759792825,0,0,0,best
515,-5.30062849290267,-1.82651478054434,0,0,0,best
516,-4.06402303803851,-2.48949993015094,0,0,0,best
521,-0.359341273650628,-5.7526398129386,0,0,0,best
523,0.318012772143541,-5.85456778473482,0,0,0,best
524,5.2704719470725,-9.78988841620086,0,0,0,best
539,3.06184671032352,-6.91116498584425,0,0,0,best
540,5.73518232644691,-9.05666536634484,0,0,0,best
543,5.93699540859348,-8.81657280343796,0,0,0,best
557,6.7503353137599,-9.36244388913395,0,0,0,best
561,8.54669442110235,-11.1274752068169,0,0,0,best
565,9.7902511641587,-12.1920779359762,0,0,0,best
573,7.83774476685888,-10.0943381971624,0,0,0,best
575,9.08575850674994,-10.8914447227019,0,0,0,best
585,8.99706429230961,-10.7647861833358,0,0,0,best
589,10.9025307841068,-11.8685638890858,0,0,0,best
590,12.8265592538525,-13.5258381948108,0,0,0,best
