"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.14248796
0,6,0.21756293
0,9,0.1450767
0,12,0.103554055
0,15,0.08130179
0,18,0.06928944
0,21,0.062369477
0,24,0.057966884
0,27,0.054835215
0,30,0.052370206
0,33,0.050277535
0,36,0.048411172
0,39,0.046697285
0,42,0.045096897
0,45,0.043588333
0,48,0.04215939
0,51,0.040802002
0,54,0.039509933
0,57,0.038278196
0,60,0.037102986
0,63,0.035981182
0,66,0.034909774
0,69,0.03388575
0,72,0.032906305
0,75,0.03196895
0,78,0.031071411
0,81,0.030211445
0,84,0.029387066
0,87,0.028596275
0,90,0.027837342
0,93,0.027108498
0,96,0.026408175
0,99,0.025734838
0,102,0.025087079
0,105,0.024463566
0,108,0.023863053
0,111,0.023284378
0,114,0.02272643
0,117,0.022188187
0,120,0.02166866
0,135,0.019321507
0,150,0.017325046
0,165,0.015607104
0,180,0.014113793
0,195,0.012804033
0,210,0.011646381
0,225,0.010616652
0,240,0.009695861
0,255,0.008868815
0,270,0.008123218
0,285,0.007449058
0,300,0.0068380763
0,315,0.0062833214
0,330,0.0057788314
0,345,0.005319449
0,360,0.0049006944
0,375,0.0045186495
0,390,0.0041698506
0,405,0.0038512317
0,420,0.0035600003
0,435,0.0032937229
0,450,0.0030500316
0,465,0.0028269372
0,480,0.0026226223
0,495,0.0024354816
0,510,0.002264018
0,525,0.0021068498
0,540,0.00196276
0,555,0.0018305432
0,570,0.00170916
0,585,0.001597661
0,600,0.0014952226
0,615,0.001401074
0,630,0.0013145151
0,645,0.0012348766
0,660,0.0011615565
0,675,0.0010940055
0,690,0.0010317316
0,705,0.00097429036
0,720,0.0009212719
0,735,0.00087230164
0,750,0.00082703156
0,765,0.000785147
0,780,0.00074636086
0,795,0.0007104136
0,810,0.0006770683
0,825,0.0006461078
0,840,0.00061733316
0,855,0.0005905619
0,870,0.00056562806
0,885,0.0005423802
0,900,0.0005206803
0,915,0.00050040183
0,930,0.0004814308
0,945,0.00046366043
0,960,0.00044699578
0,975,0.0004313488
0,990,0.00041663848
0,1005,0.00040279102
0,1020,0.0003897395
0,1035,0.00037742103
0,1050,0.0003657795
0,1065,0.00035476344
0,1080,0.00034432483
0,1095,0.00033442146
0,1110,0.00032501342
0,1125,0.00031606478
0,1140,0.00030754253
0,1155,0.00029941628
0,1170,0.00029165833
0,1185,0.00028424276
0,1200,0.0002771463
0,1215,0.00027034717
0,1230,0.0002638253
0,1245,0.00025756285
0,1260,0.0002515428
0,1275,0.00024574992
0,1290,0.00024017009
0,1305,0.00023479034
0,1320,0.00022959874
0,1335,0.00022458416
0,1350,0.00021973652
0,1365,0.00021504628
0,1380,0.00021050467
0,1395,0.00020610378
0,1410,0.000201836
0,1425,0.0001976945
0,1440,0.00019367291
1,0,0
1,3,0.123824365
1,6,0.17095847
1,9,0.100700825
1,12,0.068058625
1,15,0.052813157
1,18,0.045292914
1,21,0.04116976
1,24,0.03857597
1,27,0.036700495
1,30,0.035183135
1,33,0.033860974
1,36,0.032657813
1,39,0.03153693
1,42,0.030479396
1,45,0.029475166
1,48,0.028518423
1,51,0.02760512
1,54,0.026732016
1,57,0.025896618
1,60,0.02509698
1,63,0.024331309
1,66,0.023597775
1,69,0.022894653
1,72,0.022220403
1,75,0.021573607
1,78,0.020952888
1,81,0.020356916
1,84,0.019784452
1,87,0.019234346
1,90,0.018705463
1,93,0.018196793
1,96,0.017707407
1,99,0.017236264
1,102,0.016782604
1,105,0.016345572
1,108,0.015924325
1,111,0.015518187
1,114,0.015126395
1,117,0.014748297
1,120,0.014383266
1,135,0.012734191
1,150,0.011334398
1,165,0.010134967
1,180,0.009098297
1,195,0.008195303
1,210,0.007403275
1,225,0.006704364
1,240,0.0060844505
1,255,0.005532157
1,270,0.005038191
1,285,0.004594961
1,300,0.0041962047
1,315,0.0038366814
1,330,0.0035119278
1,345,0.003218079
1,360,0.0029518486
1,375,0.0027103082
1,390,0.002490962
1,405,0.0022916265
1,420,0.0021103614
1,435,0.0019454333
1,450,0.0017952787
1,465,0.0016584999
1,480,0.001533825
1,495,0.0014201321
1,510,0.0013164057
1,525,0.001221733
1,540,0.0011352835
1,555,0.0010563048
1,570,0.0009841118
1,585,0.0009180859
1,600,0.0008576679
1,615,0.0008023506
1,630,0.0007516747
1,645,0.0007052219
1,660,0.0006626146
1,675,0.0006235049
1,690,0.0005875815
1,705,0.00055455783
1,720,0.0005241729
1,735,0.00049619464
1,750,0.0004704053
1,765,0.0004466147
1,780,0.00042464468
1,795,0.00040433684
1,810,0.00038554517
1,825,0.0003681383
1,840,0.00035199488
1,855,0.00033700612
1,870,0.00032307167
1,885,0.00031010073
1,900,0.00029801132
1,915,0.00028672788
1,930,0.00027618295
1,945,0.0002663142
1,960,0.00025706558
1,975,0.00024838548
1,990,0.00024022751
1,1005,0.00023254864
1,1020,0.00022531042
1,1035,0.00021847722
1,1050,0.0002120169
1,1065,0.0002059002
1,1080,0.00020010027
1,1095,0.00019459293
1,1110,0.00018935582
1,1125,0.0001843688
1,1140,0.00017961321
1,1155,0.0001750723
1,1170,0.00017073046
1,1185,0.0001665737
1,1200,0.00016258903
1,1215,0.00015876467
1,1230,0.00015508985
1,1245,0.00015155465
1,1260,0.00014815007
1,1275,0.00014486781
1,1290,0.0001417004
1,1305,0.00013864071
